Job,wj,pj,rj,dj
1,51,18.85,401,783
2,88,34.21,62,73
3,18,26.3,1241,1613
4,85,25.71,1003,1618
5,75,13.26,369,729
6,67,32.5,1010,1216
7,99,21.33,1169,2030
8,26,22.27,806,1436
9,3,16.38,1286,2005
10,64,20.44,496,875
11,85,19.89,226,438
12,74,16.66,1191,1547
13,2,28.93,1341,2233
14,11,23.09,1246,2156
15,30,32.03,759,1116
16,69,28.89,658,1295
17,86,25.09,498,603
18,20,14.49,807,922
19,66,28.7,1474,2262
20,70,20.7,1414,1845
21,35,22.18,1328,2619
22,79,14.87,516,1001
23,81,16.78,1237,1385
24,20,20.67,578,652
25,95,20.27,12,17
26,48,13.78,173,304
27,67,18.44,1052,1220
28,21,17.68,1127,1561
29,81,20.81,597,761
30,32,30.01,448,611
31,29,28.38,978,1535
32,30,29.14,1373,2060
33,83,17.58,1165,1296
34,55,25.69,1514,2483
35,19,23.32,1494,2134
36,71,22.27,1331,1487
37,64,25.45,1438,1594
38,53,22.48,1073,1317
39,57,23.37,1298,2454
40,1,33.03,509,892
41,70,21.93,785,1229
42,53,25.24,580,1133
43,8,24.57,1324,1723
44,1,18.77,430,697
45,28,27.98,1519,1775
46,100,23.41,1027,1856
47,23,19.35,1426,2202
48,11,31.07,1065,1691
49,2,11.87,856,1504
50,34,19.38,941,1052
51,81,37.42,62,122
52,22,22.43,1213,2062
53,93,24.2,817,964
54,99,12.33,481,821
55,1,31.9,937,1674
56,78,16.03,1516,2658
57,69,25.22,586,749
58,52,31.74,679,1162
59,27,16.72,193,371
60,66,20.94,583,1080
61,78,23.55,1390,2236
62,48,22.21,489,677
63,99,27.66,740,1030
64,50,24.08,287,499
65,67,23.37,437,806
66,43,21.27,673,832
